
RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,Sr,6-8,Sam Hauser (21),Virginia,Marquette,85.2,5.4,9.1,123.6,22.2,61.1,63.5,3.4,21.6,11.6,9.0,1.4,1.1,16.4,84-141,.596,11.6,63-151,.417,2021
2,Jr,6-8,Braxton Key (19),Virginia,Alabama,49.1,2.0,8.0,112.4,18.0,48.5,53.0,8.9,23.4,9.4,13.6,3.7,3.2,39.2,56-112,.500,5.2,18-59,.305,2019
3,Sr,6-9,Brady Manek (22),North Carolina,Oklahoma,73.8,4.2,8.0,118.8,21.8,59.8,60.8,5.6,16.1,12.9,13.4,1.9,1.2,15.9,116-190,.611,12.0,88-225,.391,2022
4,Jr,6-8,Jake LaRavia (22),Wake Forest,Indiana St.,79.4,4.5,7.9,118.6,21.6,60.4,64.7,7.5,14.1,20.0,20.2,2.9,2.7,52.7,138-225,.613,3.6,28-73,.384,2022
5,Jr,6-9,Keve Aluma (21),Virginia Tech,Wofford,75.3,4.3,7.7,113.3,26.3,53.1,57.1,10.1,21.3,15.9,13.9,5.2,1.3,44.8,98-184,.533,5.1,20-57,.351,2021
6,Jr,6-9,Trey Murphy III (21),Virginia,Rice,73.5,4.3,7.2,127.9,17.3,63.9,67.0,2.8,11.7,8.2,9.8,1.8,1.8,21.5,44-71,.620,10.7,52-120,.433,2021
7,So,6-3,Marcquise Reed (17),Clemson,Robert Morris,53.8,2.9,6.7,115.3,22.9,49.2,57.3,2.6,10.0,17.4,14.4,0.2,3.8,44.7,67-155,.432,6.8,33-82,.402,2017
8,Jr,6-5,Alan Griffin (21),Syracuse,Illinois,72.8,3.1,6.3,106.0,23.5,52.3,55.8,6.3,15.2,12.2,17.8,6.6,2.3,19.0,76-148,.514,11.2,56-158,.354,2021
9,Sr,6-5,Alondes Williams (22),Wake Forest,Oklahoma,84.1,4.5,6.0,108.2,29.8,54.9,57.6,5.0,15.6,31.0,20.0,1.2,2.0,37.9,202-336,.601,6.6,40-141,.284,2022
10,Jr,6-5,C.J. Bryce (19),North Carolina St.,UNC Wilmington,67.5,2.9,5.9,113.7,20.0,52.6,55.6,6.2,12.9,11.2,15.1,1.7,2.3,27.2,117-221,.529,6.3,38-110,.345,2019
11,Jr,6-6,Elijah Hughes (19),Syracuse,East Carolina,81.2,3.0,5.9,106.9,20.6,53.9,56.5,2.3,12.6,10.0,16.3,3.5,2.3,25.3,68-133,.511,12.5,87-235,.370,2019
12,Sr,6-7,Andrew White III (17),Syracuse,Nebraska,92.4,4.8,5.6,117.0,20.9,56.3,60.4,2.6,11.3,6.1,12.4,1.1,2.6,31.1,87-173,.503,13.0,112-280,.400,2017
13,Sr,6-9,Paul Atkinson (22),Notre Dame,Yale,68.5,4.0,5.6,116.5,24.3,59.1,62.0,11.4,18.2,13.3,16.2,2.7,1.4,38.5,172-289,.595,0.1,0-2,.000,2022
14,So,5-10,Nick Honor (21),Clemson,Fordham,57.9,2.2,5.4,106.1,20.0,50.6,52.2,1.8,4.8,20.7,13.3,0.2,3.5,13.1,29-67,.433,12.1,40-109,.367,2021
15,Jr,6-8,Cameron Johnson (18),North Carolina,Pittsburgh,51.3,4.1,5.4,120.8,18.8,51.5,55.1,6.3,10.7,13.2,10.9,0.7,1.3,22.3,66-127,.520,10.1,47-138,.341,2018
16,Jr,6-7,Jordan Miller (22),Miami FL,George Mason,75.1,3.9,5.2,123.7,16.0,60.0,61.6,8.5,15.2,6.8,9.9,2.1,3.4,26.3,127-194,.655,3.5,19-65,.292,2022
17,Sr,6-1,Carlik Jones (21),Louisville,Radford,88.6,4.3,5.2,105.7,26.2,43.4,49.1,2.2,12.4,26.2,12.7,0.3,2.2,32.7,95-225,.422,4.8,18-56,.321,2021
18,Sr,6-6,Tevin Mack (20),Clemson,Alabama,69.8,2.3,4.9,101.9,22.3,52.2,53.2,3.9,17.8,7.9,11.0,3.0,2.3,19.1,99-159,.623,11.4,47-166,.283,2020
19,Sr,6-6,Austin Arians (17),Wake Forest,Milwaukee,57.1,2.9,4.8,128.0,14.2,61.9,64.5,2.5,6.9,8.5,10.9,0.4,1.3,18.4,33-58,.569,10.5,61-143,.427,2017
20,Jr,6-10,Steven Enoch (19),Louisville,UConn,47.3,2.4,4.7,113.5,22.4,55.8,60.0,9.0,20.8,2.1,14.0,3.5,0.5,33.3,108-192,.563,3.5,14-39,.359,2019
21,So,6-3,Keyshawn Woods (17),Wake Forest,Charlotte,76.3,3.7,4.4,117.7,19.3,57.5,60.0,2.7,13.0,21.0,16.3,0.0,1.0,26.9,102-193,.528,6.2,49-112,.438,2017
22,Sr,6-4,David Collins (22),Clemson,South Florida,69.3,2.4,4.3,105.4,20.6,55.6,57.2,4.8,23.6,15.8,18.9,0.8,3.3,58.9,96-175,.549,3.2,19-49,.388,2022
23,Sr,6-2,Christen Cunningham (19),Louisville,Samford,75.1,3.4,4.3,114.2,18.5,52.8,58.2,0.8,6.7,30.0,19.8,0.2,1.0,47.4,80-148,.541,4.9,29-86,.337,2019
24,So,6-9,Malik Osborne (20),Florida St.,Rice,48.1,1.8,4.2,114.9,15.9,52.9,53.9,11.7,18.2,4.2,12.1,4.7,1.8,25.3,50-96,.521,5.6,21-58,.362,2020
25,Sr,6-0,John Gillon (17),Syracuse,Colorado St.,73.9,3.7,4.2,116.7,20.5,51.4,58.0,1.5,5.3,33.1,20.4,0.1,2.8,41.6,51-127,.402,7.5,54-130,.415,2017
26,Sr,7-0,Dallas Walton (22),Wake Forest,Colorado,63.3,2.4,4.2,116.6,16.2,58.3,61.0,4.7,17.3,7.4,13.4,5.5,0.9,39.3,99-167,.593,3.6,21-57,.368,2022
