RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,Sr,6-4,Payton Willis (22),Minnesota,College of Charleston,87.1,4.7,7.6,112.5,24,57.7,58.5,2.3,13.3,25.9,12.5,1.4,2.4,22.4,95-184,0.516,10,74-173,0.428,2022
2,Jr,6-6,James Palmer Jr. (18),Nebraska,Miami FL,77.3,4.2,6.9,109.4,28.7,49.6,55.4,4.5,10.5,21.9,14.4,1.4,1.8,54.2,138-269,0.513,8,43-139,0.309,2018
3,Sr,6-6,Akwasi Yeboah (20),Rutgers,Stony Brook,60,2.5,5.9,109,20.1,50.6,54.8,5.3,16.6,7.5,14.1,2.5,1.9,31.5,65-128,0.508,8.4,35-104,0.337,2020
4,Jr,6-9,Isaac Copeland (18),Nebraska,Georgetown,76.4,3.2,5.7,113.6,19.7,53.3,55.6,6.1,15.1,8.1,9.7,3,1.6,27.3,118-226,0.522,6.4,41-111,0.369,2018
5,Jr,6-6,Teddy Allen (21),Nebraska,West Virginia,55.5,3,5.3,98.3,29.8,52,54.5,4.8,13.5,16.3,16.8,0.2,2.5,29.2,81-167,0.485,10.4,42-110,0.382,2021
6,Jr,7-0,Liam Robbins (21),Minnesota,Drake,48.3,2.7,5.2,103.9,24.8,48.3,53.3,9.8,18.9,9.9,15.1,10.9,1.5,53.5,72-150,0.48,5.1,17-52,0.327,2021
7,Jr,6-10,Reggie Lynch (17),Minnesota,Illinois St.,54.9,1.6,5.1,103.5,19.2,54.3,56.7,9.9,17.4,4,19,14.5,1.1,48.7,108-199,0.543,0,0-0,0,2017
8,Sr,6-5,Chaundee Brown Jr. (21),Michigan,Wake Forest,51.5,2.4,5,117.4,17.1,60.3,61.2,4.9,12,5.7,12.7,1.2,0.4,17.1,44-77,0.571,9.6,39-93,0.419,2021
9,Jr,6-7,Justice Sueing (21),Ohio St.,California,69.9,3.3,4.9,110.9,20.2,54.1,59.3,6.6,15.4,9.9,18.7,0.8,2,55.9,87-161,0.54,4.1,22-61,0.361,2021
10,So,6-2,Marcus Carr (20),Minnesota,Pittsburgh,91.4,4.6,4.7,106.6,25.9,45.8,50.2,2.9,12.4,35.6,16.5,0.3,1.4,40,105-256,0.41,7.5,52-144,0.361,2020
11,Sr,6-4,Jalen Pickett (22),Penn St.,Siena,92,3.7,4.7,107,22.6,48.2,50.2,2,11.8,26,13.5,1.9,1.9,15.4,114-236,0.483,8.2,47-147,0.32,2022
12,Jr,6-3,Xavier Johnson (22),Indiana,Pittsburgh,66.6,2.9,4.7,102,28,46.1,52.6,2.3,13.1,36.6,20.3,0.6,2.5,45.5,95-229,0.415,5.9,36-94,0.383,2022
13,Sr,6-1,DeVante' Jones (22),Michigan,Coastal Carolina,69.9,3.4,4.7,110.1,22.1,51.3,55.1,4.6,14.1,29.5,20.1,0.4,1.9,28.3,99-193,0.513,5,27-79,0.342,2022
14,Jr,6-4,Payton Willis (20),Minnesota,Vanderbilt,65.4,2.5,4.6,111.9,14.4,50.7,51.6,1.6,11.1,12.2,8.6,1,1.5,7.1,29-65,0.446,11.7,57-161,0.354,2020
15,Sr,6-8,Brandon Johnson (21),Minnesota,Western Michigan,61.4,2.7,4.4,114.7,16.5,50,55.2,8.4,17.9,5.4,9.5,2.6,1.8,55.1,68-123,0.553,4.3,14-55,0.255,2021
16,So,6-6,Charles Matthews (18),Michigan,Kentucky,74.6,2.6,4.4,101.6,25.2,52.5,53.3,5.1,16.8,15.9,16.5,2,1.4,37.2,165-301,0.548,5.3,32-105,0.305,2018
17,Jr,6-9,Joey Hauser (21),Michigan St.,Marquette,53.4,2.1,4.3,103.8,23.2,56.1,58.8,7.1,22,14.4,21.7,1,1.2,34.3,60-98,0.612,9.7,34-100,0.34,2021
18,Sr,6-3,Jahaad Proctor (20),Purdue,High Point,62.7,2.3,4.1,107.2,19,45.9,50.6,1.3,9.5,13.8,12.3,0.5,2.4,28.3,70-156,0.449,6.9,28-88,0.318,2020
19,Jr,6-1,CJ Walker (20),Ohio St.,Florida St.,72.4,2.5,4,107.4,18.3,48.9,53.6,1.2,10.7,23.9,19.7,0.3,2.7,31.4,67-136,0.493,5.6,27-84,0.321,2020
20,Sr,6-4,Akeem Springs (17),Minnesota,Milwaukee,54.9,1.7,4,104.8,19.1,50.6,52.2,2.4,10.4,11.2,11.7,0.8,1.3,17.5,35-93,0.376,13,67-175,0.383,2017
21,So,6-9,Dalano Banton (21),Nebraska,Western Kentucky,68.4,1.6,4,92.6,22.8,44.6,48.6,3.7,18.4,27.5,21.9,3.6,1.9,39.6,66-133,0.496,6.1,19-79,0.241,2021
22,Sr,6-3,Alonzo Verge Jr. (22),Nebraska,Arizona St.,67.6,3.1,3.8,98.4,31.8,48,52.6,1.9,15.4,42.8,20.6,0.9,3.2,34.4,150-312,0.481,3.4,17-54,0.315,2022
23,Sr,6-1,Alfonso Plummer (22),Illinois,Utah,74.8,3.9,3.7,116.6,20.4,55.9,59.6,1.3,7.7,7.1,12.6,0,0.6,24,56-123,0.455,14.3,98-240,0.408,2022
24,Jr,6-1,Nigel Johnson (17),Rutgers,Kansas St.,63.6,2.1,3.6,102.1,23.2,44,47.5,1.6,12,16.8,13.5,0.3,2.6,28.1,78-205,0.38,8.6,43-119,0.361,2017
25,Jr,6-0,Tyson Walker (22),Michigan St.,Northeastern,56.5,2.4,3.2,106.7,22.6,49.8,53.6,0.7,5.6,35.9,21.2,0.7,2.5,25.6,70-172,0.407,5.4,35-74,0.473,2022
26,Sr,5-11,Fatts Russell (22),Maryland,Rhode Island,80.8,3.4,3.1,102.7,26.8,46.9,52.4,1.6,12.7,24.9,16.7,0.5,2.4,38.2,114-258,0.442,7.5,46-132,0.348,2022
27,Sr,6-2,Andrew Dakich (18),Ohio St.,Michigan,47,0.7,3.1,106.7,11.1,57.2,59.7,2.5,8.6,17.5,30.2,0.2,2.9,23.7,21-37,0.568,3.5,15-39,0.385,2018
28,Sr,5-11,Mike Smith (21),Michigan,Columbia,78.8,3.1,3.1,108.5,19.1,49.1,53,1.8,7.8,28.6,20.9,0,0.9,27.5,54-132,0.409,5.3,33-79,0.418,2021
29,Sr,6-1,Jamari Wheeler (22),Ohio St.,Penn St.,70.9,2.4,2.9,112.9,14.8,57.2,60.4,2.4,10,18.4,23.4,0.2,2.5,21.7,38-68,0.559,6.6,38-98,0.388,2022
30,So,6-7,Jamison Battle (22),Minnesota,George Washington,87.9,3.6,2.9,104.2,23.8,54.1,56.3,1,19.4,6,9.4,1.2,0.6,19.1,111-208,0.534,11.8,75-205,0.366,2022
31,Sr,6-9,Alihan Demir (20),Minnesota,Drexel,61.5,1.7,2.3,104.2,16.9,44.1,48.2,6.1,15.2,11.3,12.8,1.7,1.3,26,72-152,0.474,4,12-52,0.231,2020
32,Sr,6-5,Haanif Cheatham (20),Nebraska,Florida Gulf Coast,78.9,2.5,2.1,103,19.4,51.4,54.3,1.4,11,10.4,11.5,0.8,1.9,37.9,120-234,0.513,4.9,32-93,0.344,2020
33,Jr,6-0,Samuel Sessoms (21),Penn St.,Binghamton,49.2,1.5,2.1,93,24.8,45,47.4,2.1,9.6,23.4,20.8,0.5,3.7,18.3,62-134,0.463,6.7,16-57,0.281,2021
