RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,Jr,7-0,Jack Nunge (22),Xavier,Iowa,65.4,4.6,9.5,127,21.6,60.5,63.3,10.5,21.2,8.8,9,5.6,1.6,53.4,132-209,0.632,5.8,35-96,0.365,2022
2,Sr,6-10,Kerem Kanter (18),Xavier,Green Bay,40.5,2.9,8.3,124.2,25.3,61.8,64.8,9.5,21.7,6.5,11,1.9,1,37.6,129-199,0.648,4.9,17-51,0.333,2018
3,Jr,5-10,Andrew Rowsey (17),Marquette,UNC Asheville,51.9,3.7,7.3,126.7,23.2,61.5,67.4,1.1,9.1,19.7,15.3,0.2,1.8,41.3,35-71,0.493,13.4,71-159,0.447,2017
4,Sr,6-10,Kur Kuath (22),Marquette,Oklahoma,47.4,2.1,6.7,125.8,12.1,71.3,69.9,6.8,15.1,5.8,15.2,13.4,1.3,25.2,82-115,0.713,0,0-0,0,2022
5,Sr,6-5,Rodney Pryor (17),Georgetown,Robert Morris,80.9,3.9,6.3,112.1,23.6,57.5,59.3,3.9,13,9.3,12.7,2.1,1.4,21.3,128-238,0.538,11.1,84-204,0.412,2017
6,Sr,6-2,Avery Woodson (17),Butler,Memphis,55.7,2.8,5.7,123,16.1,59,60.1,1.4,12.9,5.7,5.3,1.4,0.8,10.9,28-60,0.467,14,75-178,0.421,2017
7,Jr,6-1,R.J. Cole (21),UConn,Howard,77.3,4,5.4,112.2,22.1,46.8,51.3,2.5,8.5,26.5,15.3,0,2.3,31.1,53-137,0.387,8.5,39-101,0.386,2021
8,Jr,6-6,Tyrese Martin (21),UConn,Rhode Island,71.7,3.1,5.2,109.3,19,48.2,51.1,11,17.2,6.6,14.3,2,2,31.6,69-143,0.483,4.5,16-50,0.32,2021
9,Jr,6-2,Paul Jorgensen (18),Butler,George Washington,67.2,2.8,5.2,114.4,18.7,51.5,54,2,12.1,15.6,10.3,0.2,2.2,16,68-135,0.504,10.3,60-172,0.349,2018
10,So,6-5,Justin Simon (18),St. John's,Arizona,88.6,2.5,5.1,100.5,21.6,49.5,52.8,3.4,18.2,26.6,20.7,2.7,3.9,39.8,133-278,0.478,1.8,15-36,0.417,2018
