RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,Sr,6-3,Terrell Brown Jr. (22),Washington,Arizona,89.3,5.2,8.2,107.5,31.8,46.2,51.6,3.6,9.6,30,11.9,1.5,3.4,38.5,245-509,0.481,3,12-60,0.2,2022
2,Sr,6-6,Eugene Omoruyi (21),Oregon,Rutgers,76.4,4.8,7.2,111.3,29,53.1,56.8,8.8,12.7,15,15.4,2.2,2.9,32.5,133-258,0.516,7.4,41-108,0.38,2021
3,Sr,6-7,Jeriah Horne (21),Colorado,Tulsa,61.3,3.3,6.9,116,20.8,55.2,58.6,5.8,23,7.5,13,0.3,1.5,19.6,71-139,0.511,10.1,52-131,0.397,2021
4,Sr,6-1,Michael Flowers (22),Washington St.,South Alabama,80.9,4,6.5,115,22,51.9,55.9,1.7,9.7,22.1,15.3,0.3,2,24.5,68-149,0.456,13.4,100-271,0.369,2022
5,So,6-6,Johnny Juzang (21),UCLA,Kentucky,65.8,4.2,6.4,109.3,24.8,51.7,54.8,3.3,12.5,10.7,12.3,1.2,1.5,17.9,105-207,0.507,11,55-156,0.353,2021
6,Sr,5-8,Justin Bibbins (18),Utah,Long Beach St.,86.7,4.8,6.4,122.5,21.1,59.5,64.7,1.3,8.3,26.9,16.4,0.4,2.2,40.1,61-125,0.488,10.3,93-212,0.439,2018
7,Sr,6-6,LJ Figueroa (21),Oregon,St. John's,72.6,3.9,5.9,117.5,18.7,55.1,55.8,6.8,17,8.5,8.9,1.1,2.9,9.9,82-152,0.539,8.8,46-122,0.377,2021
8,Sr,6-2,Tahj Eaddy (21),USC,Santa Clara,79.5,4.2,5.5,116.3,20,53.7,56.3,1.5,8.4,16.5,13.3,0,1.1,20.9,96-193,0.497,9.4,66-170,0.388,2021
9,Jr,6-7,Warith Alatishe (21),Oregon St.,Nicholls St.,69.1,2.7,5.5,105.3,21.3,50.5,51,13.9,22.7,14.2,15.7,6.1,2.4,19.3,137-260,0.527,1,1-14,0.071,2021
10,Sr,6-10,Myles Johnson (22),UCLA,Rutgers,44.6,1.5,5.4,114.8,13.7,63,61.5,15.7,18.9,6.6,24.2,8.2,2,55.6,51-81,0.63,0,0-0,0,2022
