RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,So,6-8,Tari Eason (22),LSU,Cincinnati,58.8,4.5,13.5,115.7,30.8,55.9,61.5,10.5,19.8,10.1,16.5,6.5,4.6,51.5,162-287,0.564,5.5,28-78,0.359,2022
2,So,7-1,Walker Kessler (22),Auburn,North Carolina,63,3.6,13.2,122.6,19,62.7,62.7,10.9,22.1,7,12.9,18.8,2.4,33.2,153-218,0.702,3.2,10-50,0.2,2022
3,Jr,6-9,Oscar Tshiebwe (22),Kentucky,West Virginia,79.2,5.9,12,124.2,24.8,60.4,62.5,19.4,34.3,6.1,14.2,5.4,3.2,41.9,238-393,0.606,0.1,0-1,0,2022
4,Sr,6-3,Frank Booker (18),South Carolina,Florida Atlantic,67,3.4,8.7,119.5,19.1,57.3,60.8,2.6,12.9,10.6,12.5,1.1,2.5,36.7,41-82,0.5,13.2,80-199,0.402,2018
5,Jr,6-6,Jalen Hudson (18),Florida,Virginia Tech,65.7,3.6,8.1,111.9,25.9,55.2,57.3,1.6,15.2,9.1,10,2.2,1.7,35.4,101-200,0.505,12.6,78-195,0.4,2018
6,Jr,6-9,Josh Nebo (19),Texas A&M,St. Francis PA,46,2.9,7.8,128.6,17.2,69.9,70.7,12.4,17,2.9,15.9,13.2,0.7,61.7,93-133,0.699,0,0-0,0,2019
7,Sr,6-6,Canyon Barry (17),Florida,College of Charleston,51.3,3.2,7.5,117,23.3,49.5,57,4.4,10.3,6,10.1,1.6,1.4,44.3,80-164,0.488,9.5,42-125,0.336,2017
8,Jr,6-11,Colin Castleton (21),Florida,Michigan,62.1,3.9,7.4,118,22.7,59.7,64.1,11.9,16.6,8.6,18.5,9.2,1.2,51.6,111-185,0.6,0.1,0-1,0,2021
9,So,6-4,Mark Smith (19),Missouri,Illinois,41.8,3.2,6.7,117.4,18.9,58.5,60.4,2.9,19.5,12.3,15.5,0.2,1.5,18.8,23-56,0.411,12.3,49-109,0.45,2019
10,Sr,6-11,Kavell Bigby-Williams (19),LSU,Oregon,51.6,2.8,6.2,124.5,17.3,61.7,61.5,15.7,20,4,12.8,10.4,0.8,51.1,111-180,0.617,0,0-0,0,2019
11,Jr,6-2,Tyrece Radford (22),Texas A&M,Virginia Tech,75.2,3.3,5.9,115.9,17.6,55.9,57.5,8.4,15.2,9.6,14.3,1.2,2.2,21.9,120-223,0.538,5.7,46-115,0.4,2022
12,Sr,6-10,Kerry Blackshear Jr. (20),Florida,Virginia Tech,67.5,3.9,5.9,114.5,25.6,48.5,57.2,10.9,22,11.9,15.4,2.6,1.3,70.7,88-177,0.497,5.9,25-82,0.305,2020
13,Jr,6-3,Dru Smith (20),Missouri,Evansville,81.3,3.2,5.6,105.2,23.5,45.4,54.4,4.6,10.7,27.1,21.5,1.5,3.8,46.6,97-211,0.46,5,25-85,0.294,2020
14,So,6-8,Henry Coleman III (22),Texas A&M,Duke,65.1,3.6,5.6,120,19.2,56.8,59.9,11,15.7,4.9,11.6,1.8,2.8,56.1,159-277,0.574,0.2,0-3,0,2022
15,Sr,6-7,Justin Smith (21),Arkansas,Indiana,69.6,3.6,5.4,113.4,20.3,55.5,56.9,11.1,13.2,10,14.9,2.1,2,31.4,155-270,0.574,1.4,5-23,0.217,2021
16,Sr,6-8,Reid Travis (19),Kentucky,Stanford,61.3,3.5,5.4,117.1,19.8,55.2,60.1,12.1,17.4,5.9,16.8,2.9,0.9,61.5,117-205,0.571,1.7,7-26,0.269,2019
17,Sr,6-3,Kassius Robertson (18),Missouri,Canisius,89.4,4.3,5.3,114.1,21.6,57.7,61.8,0.9,8.2,14.3,17.9,0.2,1.5,37.3,53-128,0.414,12.2,105-237,0.443,2018
18,So,5-11,Wendell Green Jr. (22),Auburn,Eastern Kentucky,65.1,3,5.2,104.9,26.5,44.4,49,2.3,12.6,35.5,17.9,0,3.1,24.1,77-187,0.412,11.6,59-186,0.317,2022
19,Sr,6-5,Phlandrous Fleming Jr. (22),Florida,Charleston Southern,68.7,2.8,5.1,104.3,23.6,44.2,50.1,7.7,11,16,15.6,2.6,3.2,36.4,82-185,0.443,8.6,40-136,0.294,2022
20,Jr,6-1,JD Notae (21),Arkansas,Jacksonville,56.2,2.2,5.1,99.7,28.2,46.4,51.2,2.4,12.4,15.5,17.2,1.6,3.4,35.3,75-176,0.426,12.3,56-167,0.335,2021
21,Jr,6-4,Samir Doughty (19),Auburn,VCU,60.3,2.2,5.1,114.2,15.4,56.7,59.9,4.9,11.9,11.9,20.6,0.4,3.1,31,49-102,0.48,6.2,44-101,0.436,2019
22,Sr,6-9,Nate Sestina (20),Kentucky,Bucknell,44.2,1.9,5.1,118.3,14.9,55.4,58.3,9.3,12.8,8.1,14.2,3.2,1.3,29.8,34-67,0.507,5.7,22-54,0.407,2020
23,Sr,6-5,Kellan Grady (22),Kentucky,Davidson,81.6,3.9,5,125.6,13.4,59.3,60.4,1,6.2,6.2,10.4,0.2,1.4,12.9,47-91,0.516,10.9,88-211,0.417,2022
24,Sr,6-8,Romello White (21),Mississippi,Arizona St.,69.2,3.1,5,113.7,19.7,64.9,67,8.6,16.9,7.7,23,5.5,1,56.9,122-184,0.663,0.3,0-4,0,2021
25,Sr,6-6,Stanley Umude (22),Arkansas,South Dakota,69,2.5,4.9,105.9,20.1,53.6,55.9,4.4,14.1,8.1,15.6,3.3,2,24.7,109-209,0.522,7.7,53-143,0.371,2022
