"Jalen Coleman-Lands",Kansas,B12,36,20.7,114.4,19.5,62,63.17,4.3,5.9,7.7,19,12,16,0.75,21,40,0.525,29,64,0.453,1.3,1.3,15.4,Sr,6-4,55,1.10398,122.7,4.5,2022,40204,all,92.8,0.64992800,8,12,13,28,0.6667,0.4643,0,0,,,101.659,96.4878,0.913218,47.2349,4.61284,4.62927,-0.0164315,5.04539,8.6111,4.33804,0.707353,0.3056,0.4722,0.7778,0.3611,0.1944,0.1111,3.9167,"Wing G",11.8848
"K.J. Walton",Akron,MAC,4,5.9,90.9,20.3,58.8,59.77,5,9.4,0,28.4,6,10,0.6,10,17,0.588,0,0,0,0,2.5,58.8,Sr,6-3,1,0.548745,93.6915,3.7,2022,41728,all,74.0,1.14279591,6,6,4,11,1.0000,0.3636,0,0,,,101.625,103.575,1.56871,12.4802,-8.42498,-5.43463,-2.99035,-0.203099,19.5000,-1.30451,1.10141,1.1667,2.0000,3.1667,1.3333,1.3333,0.0000,7.3333,"Wing G",0
"Camron Justice","Western Kentucky",CUSA,28,76.5,105.7,23.5,53.5,57,0.5,11.1,18.4,17.7,70,87,0.805,66,135,0.489,73,193,0.378,0.2,2.5,26.5,Sr,6-3,5,2.87992,110.683,2,2022,42129,all,67.6,1.37144812,49,86,17,49,0.5698,0.3469,0,1,0.0000,,103.757,103.512,2.71403,162.404,0.406101,2.41077,-2.00467,1.25372,32.0000,1.95047,-0.696748,0.1333,3.2333,3.3667,3.2000,1.6000,0.0667,14.7333,"Combo G",11.9529
"Traci Carter",Hartford,AE,22,51.2,91.1,22.4,43.2,46.06,2.2,13.1,18.1,18.7,27,34,0.794,34,112,0.304,39,102,0.382,1.7,3.3,15.9,Sr,6-1,25,0.423021,89.4675,4.5,2022,42956,all,74.8,1.32607975,4,14,27,85,0.2857,0.3176,0,0,,,104.507,109.437,1.85045,128.326,-2.61066,-1.77332,-0.837335,-3.64047,29.9091,-3.20211,-0.43836,0.5455,3.3636,3.9091,2.7727,1.6364,0.4545,9.6364,"Scoring PG",9.25142
"Shaheed Medlock",DePaul,BE,4,0.6,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-5,55,-0.641592,-7.08003,0,2022,44197,all,,,,,,,,,,,,,103.088,111.786,0.10814,1.46511,-7.85274,-5.33462,-2.51812,-5.95912,2.0000,-4.66195,-1.29717,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,PF/C,0
"Jeriah Horne",Tulsa,Amer,31,84.8,109,23.6,53,57.26,4.2,19.9,10.2,14.6,93,111,0.838,104,224,0.464,66,159,0.415,2.6,2.3,29,Sr,6-7,41,3.77783,117.481,2.1,2022,44216,all,65.0,0.77049349,45,80,59,144,0.5625,0.4097,4,6,0.6667,,100.812,99.3974,3.29062,216.159,4.43203,3.04517,1.38686,5.31914,33.9032,4.7546,0.564539,1.1935,5.7097,6.9032,1.5161,1.2903,0.6774,16.0968,"Wing F",8.97373
"Eric Curry",Minnesota,B10,26,59.6,92.2,20.2,41.5,44.99,4.7,19.9,13.8,13.4,35,49,0.714,81,187,0.433,1,12,0.083,2.8,2,24.6,Sr,6-9,1,1.0549,96.4365,3.7,2022,44217,all,77.4,1.56247964,28,47,53,140,0.5957,0.3786,0,2,0.0000,,101.693,97.2529,2.87029,140.906,0.530294,-1.90709,2.43738,0.374636,27.7308,-1.29212,1.66676,1.1154,4.6538,5.7692,1.9231,0.8846,0.7308,7.6923,PF/C,1.01463
"James Butler",Drexel,CAA,24,45.3,116.6,19.2,54.9,56.64,10.3,30,6.4,9.6,35,56,0.625,69,128,0.539,6,14,0.429,0.8,0.8,39.4,Sr,6-8,51,2.09995,114.031,4.1,2022,44288,all,,1.31249999,48,71,21,57,0.6761,0.3684,3,3,1.0000,,99.5533,98.7135,2.09936,103.92,-0.195818,0.356028,-0.551846,1.87091,21.3600,1.89349,-0.0225867,1.8800,5.3600,7.2400,0.8400,0.2800,0.1600,8.2800,PF/C,1.61413
"Jailyn Ingram",Georgia,SEC,9,19.1,96.7,22.2,53.4,58.18,4,21.7,17.3,26.3,18,20,0.9,30,50,0.6,6,23,0.261,0.9,1.6,27.4,Sr,6-7,0,1.6215,102.534,4.1,2022,44344,all,,0.75998988,21,31,9,19,0.6774,0.4737,1,1,1.0000,,109.771,109.246,1.71188,47.7987,0.00976094,0.305118,-0.295357,0.345378,27.2222,-0.13163,0.477008,0.8889,5.1111,6.0000,2.1111,0.7778,0.2222,10.6667,"Wing F",5.37395
"Quentin Jackson Jr.","Loyola Marymount",WCC,9,3.4,83,12.6,43.8,44.69,0,7.1,0,12.4,1,2,0.5,2,6,0.333,1,2,0.5,0,1.6,25,Sr,6-3,10,-0.135553,76.1164,1.1,2022,44346,all,63.6,0.00000000,2,2,0,4,1.0000,0.0000,0,0,,,112.866,108.02,0.283476,5.49281,-8.36499,-4.23307,-4.13192,-5.69524,4.0000,-2.67942,-3.01583,0.1000,0.2000,0.3000,0.0000,0.1000,0.0000,0.8000,"Wing G",3.0852
"Charlie Moore","Miami FL",ACC,36,81.4,107.8,22.6,53.1,55.21,1.3,8.6,26.4,16.5,55,74,0.743,111,217,0.512,59,159,0.371,0.6,3.6,19.7,Sr,5-11,3,3.47572,116.138,3.3,2022,44420,all,86.0,2.27023742,88,138,23,79,0.6377,0.2911,0,0,,,103.641,98.9716,3.20773,210.526,4.2266,3.97194,0.25467,3.58209,32.6667,2.38595,1.19614,0.3333,2.3611,2.6944,4.6667,2.0000,0.1667,12.6111,"Scoring PG",8.00233
